VIN,Make,Year,Model,AutoID,OwnerID,DriveTrain,EngineType,Transmission,ExteriorColor,InteriorColor
FJJSIW0EIIGUERE2M,Contoso Motors,2014,Sedan,515,45,FWD,4 Cylinder,Automatic,Racing Green,Beige
LIO7YTOE8DQT6K7O9,Contoso Motors,2004,Hatchback,516,251,AWD,4 Cylinder,Automatic,Blue,Black
S9JTJUFCLUX043CJG,Contoso Motors,2015,Sedan,517,46,FWD,4 Cylinder,Automatic,Blazing Gray,Nutmeg
EI6CW0CKYK741OUHO,Contoso Motors,2004,Sedan,518,69,AWD,4 Cylinder,Automatic,Racing Green,Beige
8BZS7FORHI8Y4FIYH,Contoso Motors,2011,SUV,519,305,FWD,4 Cylinder,Automatic,Electric Blue,Black
1C2RW5NTEBI2U8EY7,Contoso Motors,2010,Truck,520,554,FWD,6 Cylinder,Automatic,Silver,Black
ULA46Z5XFF5T0JP3C,Contoso Motors,2004,Truck,521,576,AWD,6 Cylinder,Automatic,Silver,Black
0WNSOLYN5IIV8LBKT,Contoso Motors,2011,Wagon,522,260,FWD,4 Cylinder,Automatic,Thunder Gray,Gray
ZHP04SZYFDUZ1JXJI,Contoso Motors,2011,Hatchback,523,299,FWD,4 Cylinder,Automatic,Chili Red,Black
XZXQPPCGWGPN8958F,Contoso Motors,2011,Minivan,524,524,FWD,6 Cylinder,Automatic,Blue,Old Lace
CMJT8KNLDLWSSYAY8,Contoso Motors,2004,Minivan,525,525,FWD,6 Cylinder,Automatic,Silver,Ivory
TRFD6LW1SWWCNNFF5,Contoso Motors,2004,SUV,526,329,RWD,6 Cylinder,Automatic,Electric Blue,Black
RDM6J5EKM0XAOFECS,Contoso Motors,2004,Wagon,527,356,AWD,4 Cylinder,Automatic,Volcanic Orange,White
PX06U5IK5P7JBZWMI,Contoso Motors,2016,Truck,528,672,FWD,6 Cylinder,Automatic,Silver,Black
LGFZNOVA6891NIQ04,Contoso Motors,2004,SUV,529,469,FWD,6 Cylinder,Automatic,Electric Blue,Red
SY6BM4551V77GBW56,Contoso Motors,2010,Sedan,530,70,AWD,4 Cylinder,Automatic,Blazing Gray,Nutmeg
OH5PU71JGFC98YNPZ,Contoso Motors,2011,Wagon,531,360,AWD,4 Cylinder,Automatic,Deep Blue,Brown
OW88VTE8YMYDMZDIC,Contoso Motors,2007,Minivan,532,532,FWD,6 Cylinder,Automatic,Thunder Gray,Gray
M4TV6IEALD5QDS3IR,Contoso Motors,2007,SUV,533,21,AWD,6 Cylinder,Automatic,Midnight Black,Black
DC4UBCJ3K37YKLMLM,Contoso Motors,2005,SUV,534,69,FWD,10 Cylinder,Automatic,Midnight Black,Black
CXQMZ796VHXZCIZDY,Contoso Motors,2012,Commercial,535,591,AWD,8 Cylinder,Automatic,Gray,Dark Gray
G1IJPTPCGG4VVM0O3,Contoso Motors,2016,Convertible 2DR,536,536,FWD,Electric,Automatic,Blue,Old Lace
0HMF39RGO8WJ1OS8R,Contoso Motors,2005,Coupe,537,929,FWD,4 Cylinder,Semi-automatic,Electric Blue,Red
XV1W2KOSDNKHQKHVL,Contoso Motors,2013,Hybrid,538,538,FWD,Hybrid,Semi-automatic,Deep Blue,Brown
HAFETMKFJVQ4FBOLE,Contoso Motors,2011,Truck,539,673,FWD,6 Cylinder,Automatic,Silver,Black
IY587XB4HJX6N04PA,Contoso Motors,2016,Hatchback,540,380,FWD,4 Cylinder,Automatic,Volcanic Orange,White
CI3IA2MUNCLR5GJM0,Contoso Motors,2005,Sedan,541,93,FWD,4 Cylinder,Automatic,Racing Green,Beige
HW3SMAH36QFY1MYXR,Contoso Motors,2007,Sedan,542,94,FWD,4 Cylinder,Automatic,Blazing Gray,Nutmeg
V4UM6VQFRG2USOV1R,Contoso Motors,2011,Sedan,543,117,FWD,4 Cylinder,Automatic,Racing Green,Beige
561JUQ622CUR0E8JZ,Contoso Motors,2013,Hatchback,544,443,FWD,4 Cylinder,Automatic,Midnight Black,Silverstone
G1STEWZKBIT5OYWUK,Contoso Motors,2014,Truck,545,793,AWD,6 Cylinder,Automatic,Silver,Black
LMH9EM8N6AA7VQO3A,Contoso Motors,2015,Truck,546,794,AWD,6 Cylinder,Automatic,Silver,Black
I0ZE8JP32J8ZWSBLM,Contoso Motors,2004,Coupe,547,169,AWD,4 Cylinder,Semi-automatic,Silver,Ivory
SC8RB10F5JF4LX5CV,Contoso Motors,2013,Hybrid,548,548,FWD,Hybrid,Semi-automatic,Blue,Old Lace
JBOIN5XKK8K8X9HMA,Contoso Motors,2011,SUV,549,513,FWD,10 Cylinder,Automatic,Midnight Black,Black
4K11P2TCO0ZJ0B0H6,Contoso Motors,2012,Commercial,550,654,AWD,8 Cylinder,Automatic,Gray,Dark Gray
195W304UL8HAP9Q4G,Contoso Motors,2011,Convertible 2DR,551,551,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
GAQ3SA5S84P25JPM3,Contoso Motors,2004,SUV,552,537,AWD,6 Cylinder,Automatic,Midnight Black,Black
HGDCO2CD1H90AHYZH,Contoso Motors,2007,SUV,553,561,FWD,6 Cylinder,Automatic,Midnight Black,Black
9ZMA2FR6LFGXAB4YJ,Contoso Motors,2007,Minivan,554,554,FWD,6 Cylinder,Automatic,Blazing Gray,Nutmeg
6BGDZUVC05OGK0U2N,Contoso Motors,2011,SUV,555,585,FWD,6 Cylinder,Automatic,Midnight Black,Black
7RJT1IM5441CS5P55,Contoso Motors,2011,Minivan,556,556,FWD,6 Cylinder,Automatic,Thunder Gray,Gray
NG1UDZWISW1I2HJXM,Contoso Motors,2014,SUV,557,701,FWD,8 Cylinder,Automatic,Midnight Black,Black
DB7GXQUVTGDWLEWJD,Contoso Motors,2015,Minivan,558,558,FWD,6 Cylinder,Automatic,Volcanic Orange,White
RPA91HDWA2F03K906,Contoso Motors,2016,Minivan,559,559,FWD,6 Cylinder,Automatic,Chili Red,Black
NBUL247OFXI8HQ578,Contoso Motors,2013,Minivan,560,560,FWD,6 Cylinder,Automatic,Blue,Old Lace
TOHAZOWEUU9PY3EI8,Contoso Motors,2014,Minivan,561,561,FWD,6 Cylinder,Automatic,Silver,Ivory
LOCNQO28JR378RMGF,Contoso Motors,2015,Minivan,562,562,FWD,6 Cylinder,Automatic,Deep Blue,Brown
CPTIEAH6GPLGIO4G3,Contoso Motors,2009,Sedan,563,118,FWD,4 Cylinder,Automatic,Blazing Gray,Nutmeg
76DLNGP1LW3ZH64OT,Contoso Motors,2015,Wagon,564,552,FWD,4 Cylinder,Automatic,Blazing Gray,Nutmeg
XE7I7TUY2WSJ8ZXJE,Contoso Motors,2004,Sedan,565,119,FWD,4 Cylinder,Automatic,Electric Blue,Red
JFX3YQSEC0IJ1F5CY,Contoso Motors,2004,Sedan,566,237,FWD,4 Cylinder,Automatic,Pepper White,Dark Gray
2LN5YNG2XJ1ERFKX3,Contoso Motors,2014,SUV,567,749,FWD,Electric,Automatic,Midnight Black,Black
CCGL4SM7UU0P4ZBRV,Contoso Motors,2015,Truck,568,816,FWD,6 Cylinder,Automatic,Silver,Black
OTLM4XY3T2PI9WVBF,Contoso Motors,2004,Truck,569,817,FWD,6 Cylinder,Automatic,Silver,Black
NECJ2TQWLBVFCH5DB,Contoso Motors,2007,Hatchback,570,627,AWD,4 Cylinder,Automatic,Chili Red,Black
NF981XF6W88HYKE9Y,Contoso Motors,2005,Wagon,571,674,FWD,4 Cylinder,Automatic,Volcanic Orange,White
HFHGW4VCB0VIR1XS1,Contoso Motors,2016,Minivan,572,572,FWD,6 Cylinder,Automatic,Deep Blue,Brown
WB2GUS8R6BGDC2G7D,Contoso Motors,2011,Minivan,573,573,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
6ZAH06X3W9HUWYLHS,Contoso Motors,2011,Crossover,574,901,AWD,6 Cylinder,Automatic,Midnight Black,Black
GIMP343NPI0HICJ9X,Contoso Motors,2006,Hatchback,575,675,FWD,4 Cylinder,Automatic,Chili Red,Black
TXPBHK1G57K059R07,Contoso Motors,2004,Truck,576,872,FWD,6 Cylinder,Automatic,Silver,Black
MD2QMDXNINBM2GC4M,Contoso Motors,2014,Crossover,577,925,FWD,Hybrid,Automatic,Midnight Black,Black
VPP5L9XRIZ99D9VPY,Contoso Motors,2005,Sedan,578,238,FWD,4 Cylinder,Automatic,Volcanic Orange,White
D4QKU00WCL3EMBJ69,Contoso Motors,2004,Wagon,579,696,FWD,4 Cylinder,Automatic,Volcanic Orange,White
VIJNKM20V255IWKUO,Contoso Motors,2016,Minivan,580,580,FWD,6 Cylinder,Automatic,Volcanic Orange,White
VTVIIMP7VVMBKS54N,Contoso Motors,2004,Crossover,581,949,FWD,10 Cylinder,Automatic,Midnight Black,Black
6ZCFVVRY55MTNQDK9,Contoso Motors,2005,Crossover,582,973,AWD,6 Cylinder,Automatic,Midnight Black,Black
D7ECN6CN0GDMX3DXW,Contoso Motors,2012,Commercial,583,687,AWD,8 Cylinder,Automatic,Gray,Dark Gray
IZ744LDZ0LJQ06ERN,Contoso Motors,2015,Convertible 2DR,584,584,RWD,Electric,Automatic,Deep Blue,Brown
KFJUVG6XG3K6JE4A1,Contoso Motors,2013,Coupe,585,227,AWD,4 Cylinder,Semi-automatic,Chili Red,Black
X07T6E30I713UCFRP,Contoso Motors,2013,Hybrid,586,586,FWD,Hybrid,Semi-automatic,White Silver,Smoke White
HLH85IDCRB0O5J6K6,Contoso Motors,2013,Truck,587,883,AWD,6 Cylinder,Automatic,Silver,Black
1IU4JMQ0BXEZNOMFN,Contoso Motors,2013,Wagon,588,792,AWD,4 Cylinder,Automatic,Blue,Old Lace
ARTXP87VTDTC6MS18,Contoso Motors,2016,Sedan,589,298,FWD,4 Cylinder,Automatic,Volcanic Orange,White
Y7RDS9FZMKIVZE3MJ,Contoso Motors,2013,Sedan,590,311,FWD,4 Cylinder,Automatic,Chili Red,Black
CJ7IV4AJ4BC6PUKQQ,Contoso Motors,2005,Sedan,591,357,AWD,4 Cylinder,Automatic,Chili Red,Black
E6BS9CXTX2KQ5STIM,Contoso Motors,2010,Wagon,592,818,FWD,4 Cylinder,Automatic,Deep Blue,Brown
X61ZJ042L9QHMX91E,Contoso Motors,2016,Truck,593,931,AWD,6 Cylinder,Automatic,Silver,Black
GTRRNCG4JCICBP5D8,Contoso Motors,2016,Truck,594,112,AWD,6 Cylinder,Automatic,Silver,Black
W9NSZ423XZHAONYXB,Contoso Motors,2011,Coupe,595,9,FWD,6 Cylinder,Semi-automatic,Midnight Black,Silverstone
RYMLI5IZQWJH7OF0A,Contoso Motors,2013,Hybrid,596,596,FWD,Hybrid,Semi-automatic,Deep Blue,Brown
CRM00QGMSNBX7EC9U,Contoso Motors,2007,Crossover,597,995,FWD,6 Cylinder,Automatic,Midnight Black,Black
5BL4VFIIQZ59JLFL2,Contoso Motors,2012,Commercial,598,735,AWD,8 Cylinder,Automatic,Gray,Dark Gray
A6EWRI0QEJMUY6LFQ,Contoso Motors,2013,Convertible 2DR,599,599,AWD,Hybrid,Automatic,Racing Green,Beige
O0SP48ZJC7C9D37GX,Contoso Motors,2013,SUV,600,7,AWD,6 Cylinder,Automatic,Midnight Black,Black
LLIL1MVZTJ8E92EKG,Contoso Motors,2005,SUV,601,137,RWD,8 Cylinder,Automatic,Midnight Black,Black
HVETJI1MVFEJPLUEJ,Contoso Motors,2015,Minivan,602,602,FWD,6 Cylinder,Automatic,Thunder Gray,Gray
YSXL57ME3XP7WPVM6,Contoso Motors,2004,SUV,603,161,FWD,Hybrid,Automatic,Midnight Black,Black
Z37090N06MS0J0H8X,Contoso Motors,2013,Minivan,604,604,FWD,6 Cylinder,Automatic,Volcanic Orange,White
1RWB65DQZQ0ZST2C0,Contoso Motors,2014,SUV,605,277,AWD,6 Cylinder,Automatic,Midnight Black,Black
SA23YNMGPBVLL59BB,Contoso Motors,2015,Minivan,606,606,FWD,6 Cylinder,Automatic,Blue,Old Lace
PB2GAMT1UBQC0N2BW,Contoso Motors,2013,Minivan,607,607,FWD,6 Cylinder,Automatic,Silver,Ivory
Z42D49ZK8SZE9JA9Z,Contoso Motors,2004,Minivan,608,608,FWD,6 Cylinder,Automatic,Deep Blue,Brown
0I2L5C2P0RY3P97FR,Contoso Motors,2005,Minivan,609,609,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
SNEXT2XFUNCI9H0F9,Contoso Motors,2007,Minivan,610,610,FWD,6 Cylinder,Automatic,White Silver,Smoke White
JA4C5LB3SVH9VGMPZ,Contoso Motors,2007,Sedan,611,358,AWD,4 Cylinder,Automatic,Blue,Old Lace
PA3JJB7JEPN2HG0HX,Contoso Motors,2007,Hatchback,612,819,FWD,4 Cylinder,Automatic,Midnight Black,Silverstone
2Y2CFDMXBAQNKC02X,Contoso Motors,2016,Sedan,613,359,AWD,4 Cylinder,Automatic,Silver,Ivory
VC7CU97RZ8Y7VGYQX,Contoso Motors,2015,Sedan,614,442,FWD,4 Cylinder,Automatic,Deep Blue,Brown
N01QK9B7DLNKTHSAV,Contoso Motors,2005,SUV,615,325,FWD,10 Cylinder,Automatic,Midnight Black,Black
GGNBNTBOU7FBFNYSC,Contoso Motors,2014,Truck,616,123,FWD,6 Cylinder,Automatic,Silver,Black
ZM15LTFB6YBQULUT1,Contoso Motors,2007,Truck,617,171,FWD,6 Cylinder,Automatic,Silver,Black
A8XUKOW7TXJ8K37WH,Contoso Motors,2011,Hatchback,618,871,FWD,4 Cylinder,Automatic,Electric Blue,Red
XXT5LBJOC2Z7EHTJ8,Contoso Motors,2013,Hatchback,619,875,FWD,4 Cylinder,Automatic,Chili Red,Black
HTSTI9TYT7AVCZAMD,Contoso Motors,2007,Minivan,620,620,FWD,6 Cylinder,Automatic,Deep Blue,Brown
N9V6H5GEVWXEJIEFD,Contoso Motors,2004,Minivan,621,621,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
6F8VEEXVK56DXHTEC,Contoso Motors,2014,Crossover,622,453,FWD,8 Cylinder,Automatic,Midnight Black,Black
A3V048GGYTTKGD4JD,Contoso Motors,2011,Wagon,623,932,RWD,4 Cylinder,Automatic,Volcanic Orange,White
9QTETX1DP7VDYSXWG,Contoso Motors,2005,Truck,624,225,AWD,6 Cylinder,Automatic,Silver,Black
KT3REQOBYWUUX488A,Contoso Motors,2004,Crossover,625,477,AWD,Hybrid,Automatic,Midnight Black,Silverstone
C5RO30W6BRFFOFZI7,Contoso Motors,2011,Sedan,626,475,FWD,4 Cylinder,Automatic,Chili Red,Black
26BP3DNBT2Z6AYHNI,Contoso Motors,2011,Hatchback,627,52,FWD,4 Cylinder,Automatic,Blue,Old Lace
PZQAYREQWH527DV50,Contoso Motors,2015,Minivan,628,628,FWD,6 Cylinder,Automatic,Volcanic Orange,White
D1ZVY26UV2BFGHZNO,Contoso Motors,2013,Crossover,629,27,AWD,12 Cylinder,Manual,Pepper White,Black
40AUQE77I2BZ07K5O,Contoso Motors,2016,SUV,630,39,AWD,6 Cylinder,Automatic,Pepper White,Black
YVFO13CBNKZXJHE5S,Contoso Motors,2012,Commercial,631,798,AWD,8 Cylinder,Automatic,Gray,Dark Gray
NNLRTNV7UVZF1YJ5U,Contoso Motors,2016,Convertible 2DR,632,632,RWD,6 Cylinder,Automatic,Deep Blue,Brown
DF6OX2WSRA6511BVG,Contoso Motors,2004,Coupe,633,19,RWD,6 Cylinder,Semi-automatic,Silver,Ivory
MU72U93BZ8CCAWBUE,Contoso Motors,2013,Hybrid,634,634,FWD,Hybrid,Semi-automatic,White Silver,Smoke White
5N97WWETF2TXG2B0D,Contoso Motors,2007,Truck,635,226,AWD,6 Cylinder,Automatic,Silver,Black
UN22JLHW8NGF3LIFS,Contoso Motors,2016,Hatchback,636,63,AWD,4 Cylinder,Automatic,Chili Red,Black
PMF9MF4NEMNYDMOV3,Contoso Motors,2007,Sedan,637,874,FWD,4 Cylinder,Automatic,Volcanic Orange,White
MSZOZWSKLED9OW4OB,Contoso Motors,2004,Sedan,638,933,AWD,4 Cylinder,Automatic,Chili Red,Black
J5G7QC2YSFEF4S6SR,Contoso Motors,2005,Sedan,639,934,AWD,4 Cylinder,Automatic,Blue,Old Lace
KIT8NT6ZT6RY0P84I,Contoso Motors,2007,Hatchback,640,111,FWD,4 Cylinder,Automatic,Silver,Ivory
XL2Y5G1TIV5KTVGXJ,Contoso Motors,2007,Truck,641,248,FWD,6 Cylinder,Automatic,Silver,Black
HCHAJQOQ1ZN19VN7W,Contoso Motors,2004,Truck,642,249,FWD,6 Cylinder,Automatic,Silver,Black
6UOCMQWHFIWZTN0XV,Contoso Motors,2004,Coupe,643,57,AWD,6 Cylinder,Semi-automatic,Midnight Black,Silverstone
FZE5OSHN5M9XAXL2N,Contoso Motors,2013,Hybrid,644,644,FWD,Hybrid,Semi-automatic,Deep Blue,Brown
WOQY2N691M7VUPN0F,Contoso Motors,2016,Crossover,645,75,AWD,Hybrid,Automatic,Pepper White,Black
IOKBCVTFITW7KV8NV,Contoso Motors,2012,Commercial,646,942,AWD,8 Cylinder,Automatic,Gray,Dark Gray
9WSAILJZ8SW8CF6H3,Contoso Motors,2016,Convertible 2DR,647,647,FWD,Electric,Automatic,Racing Green,Beige
4GOJ345ZOYDA33TCB,Contoso Motors,2007,SUV,648,87,FWD,12 Cylinder,Automatic,Pepper White,Black
C1OVHZ8ILU8TGGPD8,Contoso Motors,2011,SUV,649,97,AWD,Electric,Automatic,Pepper White,Black
KGX6WIWZK9LANQ1LR,Contoso Motors,2015,Minivan,650,650,FWD,6 Cylinder,Automatic,Thunder Gray,Gray
BR6LMIBHCBI8ABFVD,Contoso Motors,2014,SUV,651,121,FWD,6 Cylinder,Automatic,Pepper White,Black
J5751V8CYCTP8OP4B,Contoso Motors,2004,Minivan,652,652,FWD,6 Cylinder,Automatic,Volcanic Orange,White
3BP7P0NENUH9RI3M6,Contoso Motors,2004,SUV,653,145,FWD,8 Cylinder,Automatic,Pepper White,Black
64QRQEWGY5ZQINQAZ,Contoso Motors,2007,Minivan,654,654,FWD,6 Cylinder,Automatic,Blue,Old Lace
9C9MXU2K85SKH52B8,Contoso Motors,2016,Minivan,655,655,FWD,6 Cylinder,Automatic,Silver,Ivory
G5J8FO00MKO0YHNNH,Contoso Motors,2011,Minivan,656,656,FWD,6 Cylinder,Automatic,Deep Blue,Brown
MWNDEI881FUSUE07W,Contoso Motors,2004,Minivan,657,657,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
N8VU34JIFIOLL5QTV,Contoso Motors,2005,Minivan,658,658,FWD,6 Cylinder,Automatic,White Silver,Smoke White
EMY7WDRZPPS5PDTYV,Contoso Motors,2011,Sedan,659,3,AWD,4 Cylinder,Automatic,Chili Red,Black
YQB21B238TXKCMKAD,Contoso Motors,2016,Wagon,660,172,AWD,4 Cylinder,Automatic,White Silver,Smoke White
W8XLBATF96LUDDCE4,Contoso Motors,2013,Sedan,661,51,FWD,4 Cylinder,Automatic,Chili Red,Black
454ILQUYBQPTZ267L,Contoso Motors,2014,Sedan,662,53,FWD,4 Cylinder,Automatic,Silver,Ivory
5HTLJ84O2J32MFFYS,Contoso Motors,2015,SUV,663,169,AWD,4 Cylinder,Automatic,Pepper White,Black
BUHA9ZOJCJRVS3EK6,Contoso Motors,2016,Truck,664,304,FWD,6 Cylinder,Automatic,Silver,Black
UILM8LD1FDSPINLBZ,Contoso Motors,2005,Truck,665,369,AWD,6 Cylinder,Automatic,Silver,Black
23YK520GRELCLJVX3,Contoso Motors,2011,Hatchback,666,196,FWD,4 Cylinder,Automatic,White Silver,Smoke White
SKFXJJNBII3AF3T78,Contoso Motors,2004,Wagon,667,224,AWD,4 Cylinder,Automatic,Thunder Gray,Gray
CXGSM7RX2NWJ6ZTKG,Contoso Motors,2016,Minivan,668,668,FWD,6 Cylinder,Automatic,White Silver,Smoke White
4GGHJBM0ZFJ7IGZQH,Contoso Motors,2011,Minivan,669,669,FWD,6 Cylinder,Automatic,Racing Green,Beige
C4SOMWYENYMFLWAWH,Contoso Motors,2014,Crossover,670,613,AWD,4 Cylinder,Automatic,Pepper White,Black
15G5IEC3I0K52JC11,Contoso Motors,2005,Wagon,671,250,FWD,4 Cylinder,Automatic,Volcanic Orange,White
26QDC3UYGMBBBP2RZ,Contoso Motors,2007,Truck,672,370,AWD,6 Cylinder,Automatic,Silver,Black
SRRECKRR4UUB0VZWV,Contoso Motors,2011,Crossover,673,637,FWD,6 Cylinder,Automatic,Pepper White,Black
SRPVCRT3UXBZSNTY5,Contoso Motors,2015,Sedan,674,54,FWD,4 Cylinder,Automatic,Deep Blue,Brown
4I8OM07H8BEPD8VY8,Contoso Motors,2012,Hatchback,675,251,FWD,4 Cylinder,Automatic,Chili Red,Black
ORSUL9LZY92OIIR6L,Contoso Motors,2016,Minivan,676,676,FWD,6 Cylinder,Automatic,Blue,Old Lace
F6JFHBLMR0NX8I87T,Contoso Motors,2014,Crossover,677,661,FWD,Electric,Automatic,Pepper White,Black
T15T0WOSO20RRZH1B,Contoso Motors,2004,Crossover,678,685,AWD,6 Cylinder,Automatic,Pepper White,Black
IOE6XD5VDQCY6VTBH,Contoso Motors,2012,Commercial,679,23,AWD,8 Cylinder,Automatic,Gray,Dark Gray
PWKDX1KUF46KM4J5X,Contoso Motors,2005,Convertible 2DR,680,680,FWD,Electric,Automatic,White Silver,Smoke White
LDXV3HYEO1DKUIFKX,Contoso Motors,2011,Coupe,681,67,FWD,6 Cylinder,Semi-automatic,Silver,Ivory
165K804CU71Z1ERBS,Contoso Motors,2013,Hybrid,682,682,FWD,Hybrid,Semi-automatic,Blazing Gray,Nutmeg
GGISA6OZA4D2QNIZ9,Contoso Motors,2011,Truck,683,448,FWD,6 Cylinder,Automatic,Silver,Black
MR3ZDP1C9ODHT8M76,Contoso Motors,2007,Hatchback,684,259,AWD,4 Cylinder,Automatic,Pepper White,Dark Gray
DWT22RBR4EY569RRX,Contoso Motors,2005,Sedan,685,114,AWD,4 Cylinder,Automatic,White Silver,Smoke White
12K032PRJPCSBHOLV,Contoso Motors,2011,Sedan,686,173,RWD,4 Cylinder,Automatic,Racing Green,Beige
RBS0Y6TWVF8EQFVTU,Contoso Motors,2009,Sedan,687,174,FWD,4 Cylinder,Automatic,Blazing Gray,Nutmeg
RFO2ETT02NZYR12RM,Contoso Motors,2004,Wagon,688,268,FWD,4 Cylinder,Automatic,Blazing Gray,Dark Gray
BA8QX6RD89EZ3TQEJ,Contoso Motors,2004,Truck,689,488,FWD,6 Cylinder,Manual,Silver,Black
8M98GRB4GIWNVWKF4,Contoso Motors,2005,Truck,690,489,FWD,6 Cylinder,Manual,Silver,Black
LXHN99S7W9CA1QNI1,Contoso Motors,2013,Coupe,691,115,RWD,6 Cylinder,Semi-automatic,Midnight Black,Silverstone
DJ5NC85UCWYPOZRWE,Contoso Motors,2013,Hybrid,692,692,FWD,Hybrid,Semi-automatic,White Silver,Smoke White
EC5AH3OWV2DLLIOMH,Contoso Motors,2013,Crossover,693,707,FWD,Electric,Automatic,Pepper White,Black
ZWS5XCAHJ7L40MF32,Contoso Motors,2012,Commercial,694,86,AWD,8 Cylinder,Automatic,Gray,Dark Gray
SL0PKLM3YD24Y2VQL,Contoso Motors,2013,Convertible 2DR,695,695,FWD,6 Cylinder,Automatic,Electric Blue,Red
04G2AAZES95JFZ9KS,Contoso Motors,2006,SUV,696,719,AWD,Hybrid,Automatic,Pepper White,Black
Y79QZPA090W8TFNU4,Contoso Motors,2016,Crossover,697,755,AWD,3 Cylinder,Automatic,Pepper White,Black
SYZNGBRKG9Y3JBTTD,Contoso Motors,2007,Minivan,698,698,FWD,6 Cylinder,Automatic,Volcanic Orange,White
TL2CUWMHOQMS2US03,Contoso Motors,2012,SUV,699,767,FWD,Electric,Automatic,Pepper White,Black
SGHRPNB79FAXMCZWQ,Contoso Motors,2011,Minivan,700,700,FWD,6 Cylinder,Automatic,Blue,Old Lace
NHB1NL2QVAZED0713,Contoso Motors,2004,SUV,701,801,FWD,6 Cylinder,Automatic,Pepper White,Black
2TT5DNNIHDBXIOWBO,Contoso Motors,2005,Minivan,702,702,FWD,6 Cylinder,Automatic,Deep Blue,Brown
C53XVQMRLTY8PN51L,Contoso Motors,2007,Minivan,703,703,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
P06EU01ICF0P3MD0E,Contoso Motors,2016,Minivan,704,704,FWD,6 Cylinder,Automatic,White Silver,Smoke White
XFWVHJNOANIVJSTOR,Contoso Motors,2011,Minivan,705,705,FWD,6 Cylinder,Automatic,Racing Green,Beige
1DHKINM70L0IMDNDX,Contoso Motors,2005,Minivan,706,706,FWD,6 Cylinder,Automatic,Blazing Gray,Nutmeg
TEIQ3S8J4IS3A37ZH,Contoso Motors,2016,Sedan,707,195,FWD,4 Cylinder,Automatic,Midnight Black,Silverstone
SGY9UAYFZYAZE86LX,Contoso Motors,2004,Hatchback,708,307,FWD,4 Cylinder,Automatic,Pepper White,Dark Gray
6LW2ZHZWZXPR9AO7Q,Contoso Motors,2004,Sedan,709,197,FWD,4 Cylinder,Automatic,Racing Green,Beige
ESRMWA9TJLDSGQHLO,Contoso Motors,2005,Sedan,710,198,FWD,4 Cylinder,Automatic,Blazing Gray,Nutmeg
U9291EX7TM550KABK,Contoso Motors,2007,SUV,711,825,AWD,6 Cylinder,Automatic,Pepper White,Black
9SQ22M5CIJSXOAYEB,Contoso Motors,2007,Truck,712,59,AWD,6 Cylinder,Automatic,Silver,Black
70LKXM5BCGNUG45QI,Contoso Motors,2016,Truck,713,96,AWD,6 Cylinder,Automatic,Silver,Black
DDHBE53XPJEP6Y7OI,Contoso Motors,2013,Wagon,714,364,AWD,4 Cylinder,Automatic,Thunder Gray,Dark Gray
DOVXHGDQSGKOTTS7D,Contoso Motors,2004,Wagon,715,368,AWD,4 Cylinder,Automatic,Blue,Dark Gray
QPDTG35AB6HRKHYP1,Contoso Motors,2015,Minivan,716,716,FWD,6 Cylinder,Automatic,White Silver,Smoke White
FJN5UWII43ECSW9D8,Contoso Motors,2004,Minivan,717,717,FWD,6 Cylinder,Automatic,Racing Green,Beige
A98ZQTKVDBA3LXFNG,Contoso Motors,2011,SUV,718,849,FWD,4 Cylinder,Automatic,Pepper White,Black
HCFBT8LPDIWF223FE,Contoso Motors,2015,Hatchback,719,388,AWD,4 Cylinder,Automatic,Thunder Gray,Dark Gray
A75GQE0AKRWCYIMQV,Contoso Motors,2007,Truck,720,136,FWD,6 Cylinder,Automatic,Silver,Black
L2M27IC4G3Z1OPNGA,Contoso Motors,2005,SUV,721,873,FWD,4 Cylinder,Automatic,Pepper White,Black
MY9OKHRUXSR7SKV4K,Contoso Motors,2007,Sedan,722,221,RWD,4 Cylinder,Automatic,Racing Green,Beige
CICHILT7JTT0G3TZ7,Contoso Motors,2005,Hatchback,723,484,FWD,4 Cylinder,Automatic,Volcanic Orange,Dark Gray
SZ1PLFQYJNUDHYD3W,Contoso Motors,2005,Minivan,724,724,FWD,6 Cylinder,Automatic,Blue,Old Lace
5H80TLM5QNF4QC4NZ,Contoso Motors,2011,SUV,725,989,RWD,4 Cylinder,Automatic,Pepper White,Black
IL53ZX06LEM2VDU43,Contoso Motors,2004,SUV,726,37,FWD,Electric,Automatic,Pepper White,Black
F3IIMGLT5DZYUOK0R,Contoso Motors,2012,Commercial,727,119,AWD,8 Cylinder,Automatic,Gray,Dark Gray
3EJUIMFWGRQZG81ET,Contoso Motors,2004,Convertible 2DR,728,728,AWD,6 Cylinder,Automatic,White Silver,Smoke White
BRHC5R4SNHS73D7QE,Contoso Motors,2014,Coupe,729,153,FWD,6 Cylinder,Semi-automatic,Racing Green,Beige
7HHGDTH9FK3U8O75R,Contoso Motors,2013,Hybrid,730,730,FWD,Hybrid,Semi-automatic,Blazing Gray,Nutmeg
